county,name,position,address,phone,fax,email,alt_phone,alt_address
Greene,Anthony (Tony) Lawrence III,District Attorney,"P.O. Box 1756, Pascagoula 39568-1756 ",(228) 769-3045,,,,
Grenada,Doug Evans,District Attorney,"P.O. Box 1262, Grenada 38902-1262 ",(662) 226-8545,,,,
Hancock,Joel Smith,District Attorney,"P.O. Drawer 1180, Gulfport 39502",(228) 865-4003,,,,
Harrison,Joel Smith,District Attorney,"P.O. Drawer 1180, Gulfport 39502",(228) 865-4003,,,,
Hinds,Robert Shuler Smith,District Attorney,"P.O. Box 22747, Jackson 39225-2747",(601) 968-6568,(601) 968-6655,,,
Holmes,Akillie Malone Oliver,District Attorney,"P.O. Box 311, Durant 39063 ",(662) 653-3191,,,,
Humphreys,Akillie Malone Oliver,District Attorney,"P.O. Box 311, Durant 39063 ",(662) 653-3191,,,,
Issaquena,Richard (Ricky) Smith Jr. ,District Attorney,"P.O. Box 648, Vicksburg 39181",(601) 636-5754,,,,
Itawamba,John Weddle,District Attorney,"P.O. Box 7237, Tupelo 38802",(662) 432-2800,,,,
Jackson,Anthony (Tony) Lawrence III,District Attorney,"P.O. Box 1756, Pascagoula 39568-1756 ",(601) 847-1342,,,,
Jasper,Matt Sullivan,District Attorney,"100 Court Ave., Ste. 4, Mendenhall 39114 ",(601) 847-1342,,,,
Jefferson,Alexander C. Martin,District Attorney,"P.O. Drawer 767, Hazlehurst 39083 ",(601) 894-5040,,,,
Jefferson Davis,Hal Kittrell,District Attorney,"500 Courthouse Sq., Ste. 3, Columbia 39429",(601) 731-1476,,,,
Jones,Anthony J. Buckley,District Attorney,"P.O. Box 313, Laurel 39441",(601) 649-4606,,,,
Kemper,E. J. (Bilbo) Mitchell,District Attorney,"P.O. Box 5163, Meridian 39302",(601) 482-9757,,,,
Lafayette,Ben Creekmore,District Attorney,"1301 Monroe Avenue, Oxford 38655 ",(662) 234-3304,,,,
Lamar,Hal Kittrell,District Attorney,"500 Courthouse Sq., Ste. 3, Columbia 39429",(601) 731-1476,,,,
Lauderdale,E. J. (Bilbo) Mitchell,District Attorney,"P.O. Box 5163, Meridian 39302",(601) 482-9757,,,,
Lawrence,Hal Kittrell,District Attorney,"500 Courthouse Sq., Ste. 3, Columbia 39429",(601) 731-1476,,,,
Leake,Steven S. Kilgore,District Attorney,"P.O. Box 603, Philadelphia 39350",(601) 656-1991,,,,
Lee,John Weddle,District Attorney,"P.O. Box 7237, Tupelo 38802",(662) 432-2800,,,,
Leflore,W. Dewayne Richardson,District Attorney,"P.O. Box 426, Greenville 38702 ",(662) 378-2105,,,,
Lincoln,Dewitt (Dee) T. Bates Jr.,District Attorney,"284 E. Bay St., Magnolia 39652",(601) 783-6677,,,,
Lowndes,Scott Colom,District Attorney,"P.O. Box 1044, Columbus 39703 ",(662) 329-5911,,,,
Madison,Michael Guest,District Attorney,"P.O. Box 121, Canton 39046",(601) 859-7838,,,,
Marion,Hal Kittrell,District Attorney,"500 Courthouse Sq., Ste. 3, Columbia 39429",(601) 731-1476,,,,
Marshall,Ben Creekmore,District Attorney,"1301 Monroe Avenue, Oxford 38655 ",(662) 234-3304,,,,
Monroe,John Weddle,District Attorney,"P.O. Box 7237, Tupelo 38802",(662) 432-2800,,,,
Montgomery,Doug Evans,District Attorney,"P.O. Box 1262, Grenada 38902-1262 ",(662) 226-8545,,,,
Neshoba,Steven S. Kilgore,District Attorney,"P.O. Box 603, Philadelphia 39350",(601) 656-1991,,,,
Newton,Steven S. Kilgore,District Attorney,"P.O. Box 603, Philadelphia 39350",(601) 656-1991,,,,
Noxubee,Scott Colom,District Attorney,"P.O. Box 1044, Columbus 39703 ",(662) 329-5911,,,,
Oktibbeha,Scott Colom,District Attorney,"P.O. Box 1044, Columbus 39703 ",(662) 329-5911,,,,
Panola,John W. Champion,District Attorney,"365 Losher St., Ste. 210, Hernando 38632 ",(601) 731-1476,,,,
Pearl River,Hal Kittrell,District Attorney,"500 Courthouse Sq., Ste. 3, Columbia 39429",(601) 731-1476,,,,
Perry,Patricia Burchell,District Attorney,"P.O. Box 166, Hattiesburg 39403-0166 ",(601) 545-1551,,,,
Pike,Dewitt (Dee) T. Bates Jr.,District Attorney,"284 E. Bay St., Magnolia 39652",(601) 783-6677,,,,
Pontotoc,John Weddle,District Attorney,"P.O. Box 7237, Tupelo 38802",(662) 432-2800,,,,
Prentiss,John Weddle,District Attorney,"P.O. Box 7237, Tupelo 38802",(662) 432-2800,,,,
Quitman,Brenda F. Mitchell,District Attorney,"P.O. Box 848, Cleveland 38732",(662) 843-8000,,,,
Rankin,Michael Guest,District Attorney,"P.O. Box 121, Canton 39046",(601) 859-7838,,,,
Scott,Steven S. Kilgore,District Attorney,"P.O. Box 603, Philadelphia 39350",(601) 656-1991,,,,
Sharkey,Richard (Ricky) Smith Jr. ,District Attorney,"P.O. Box 648, Vicksburg 39181",(601) 636-5754,,,,
Simpson,Matt Sullivan,District Attorney,"100 Court Ave., Ste. 4, Mendenhall 39114 ",(601) 847-1342,,,,
Smith,Matt Sullivan,District Attorney,"100 Court Ave., Ste. 4, Mendenhall 39114 ",(601) 847-1342,,,,
Stone,Joel Smith,District Attorney,"P.O. Drawer 1180, Gulfport 39502",(228) 865-4003,,,,
Sunflower,W. Dewayne Richardson,District Attorney,"P.O. Box 426, Greenville 38702 ",(662) 378-2105,,,,
Tallahatchie,John W. Champion,District Attorney,"365 Losher St., Ste. 210, Hernando 38632 ",(662) 469-8014,,,,
Tate,John W. Champion,District Attorney,"365 Losher St., Ste. 210, Hernando 38632 ",(662) 234-3304,,,,
Tippah,Ben Creekmore,District Attorney,"1301 Monroe Avenue, Oxford 38655 ",(662) 234-3304,,,,
Tishomingo,John Weddle,District Attorney,"P.O. Box 7237, Tupelo 38802",(662) 432-2800,,,,
Tunica,Brenda F. Mitchell,District Attorney,"P.O. Box 848, Cleveland 38732",(662) 843-8000,,,,
Union,Ben Creekmore,District Attorney,"1301 Monroe Avenue, Oxford 38655 ",(662) 234-3304,,,,
Walthall,Dewitt (Dee) T. Bates Jr.,District Attorney,"284 E. Bay St., Magnolia 39652",(601) 783-6677,,,,
Warren,Richard (Ricky) Smith Jr. ,District Attorney,"P.O. Box 648, Vicksburg 39181",(601) 636-5754,,,,
Washington,W. Dewayne Richardson,District Attorney,"P.O. Box 426, Greenville 38702 ",(662) 378-2105,,,,
Wayne,E. J. (Bilbo) Mitchell,District Attorney,"P.O. Box 5163, Meridian 39302",(601) 482-9757,,,,
Webster,Doug Evans,District Attorney,"P.O. Box 1262, Grenada 38902-1262 ",(662) 226-8545,,,,
Wilkinson,Ronnie Harper,District Attorney,"307 Market St., Natchez 39120",(601) 445-4099,,,,
Winston,Doug Evans,District Attorney,"P.O. Box 1262, Grenada 38902-1262 ",(662) 226-8545,,,,
Yalobusha,John W. Champion,District Attorney,"365 Losher St., Ste. 210, Hernando 38632 ",(662) 653-3191,,,,
Yazoo,Akillie Malone Oliver,District Attorney,"P.O. Box 311, Durant 39063 ",(662) 653-3191,,,,
