county,position,name,address,phone,fax,alt_address,alt_phone,alt_fax,mobile,email,source,verified
George,County Prosecuting Attorney,Joey Griffin," 368 Cox St., Lucedale 39452",(601) 508-0509,(601) 947-2939,,,,,,2016-2020 Blue Book,
Greene,County Prosecuting Attorney,Lee Turner,"P.O. Box 1492, Leakesville 39451",(601) 394-5008,(601) 394-2986,,,,,,2016-2020 Blue Book,
Grenada,County Prosecuting Attorney,Adam Kirk,"P.O. Box 901, Grenada 38902-0901",(662) 226-1891,(662) 226-2237,,,,,,2016-2020 Blue Book,
Hancock,County Prosecuting Attorney,Olen Anderson,"8450 Hwy. 90, Bay St. Louis 39520",(228) 255-5808,,,,,,,2016-2020 Blue Book,
Harrison,County Prosecuting Attorney,Herman Cox," P.O. Box 1754, Gulfport 39502",(228) 865-4255,(228) 867-6556,,,,,,2016-2020 Blue Book,
Hinds,County Prosecuting Attorney,Martin Perkins (Interim)," P.O. Box 483, Jackson 39205",(601) 948-5030,(601) 948-5044,,,,,,2016-2020 Blue Book,
Holmes,County Prosecuting Attorney,Charles Edwards," P.O. Box 956, Lexington 39095",(662) 843-9029,(662) 834-3117,,,,,,2016-2020 Blue Book,
Humphreys,County Prosecuting Attorney,Noel D. Crook,"P.O. Box 342, Belzoni 39038",(662) 247-4013,(662) 247-4092,,,,,,2016-2020 Blue Book,
Issaquena,County Prosecuting Attorney,Charles Weissinger," P.O. Box 215, Rolling Fork 39159",(662) 873-6258,(662) 873-6903,,,,,,2016-2020 Blue Book,
Itawamba,County Prosecuting Attorney,Michael P. Mills," 100 A W. Main Street, Fulton 38843",(662) 862-5855,(662) 862-5811,,,,,,2016-2020 Blue Book,
Jackson,County Prosecuting Attorney,Mark H. Watts,"P.O. Drawer 1499, Pascagoula 39568",(228) 762-2373,(228) 769-1417,,,,,,2016-2020 Blue Book,
Jasper,County Prosecuting Attorney,Joseph T. (JoJo) Sims,"P.O. Box 361, Bay Springs 39422",(601) 784-4497,(601) 764-4499,,,,,,2016-2020 Blue Book,
Jefferson,County Prosecuting Attorney,Jeffery Harness,"P.O. Box 758, Fayette 39069",(601) 702-1947,,,(601) 304-2238,,,,2016-2020 Blue Book,
Jefferson davis,County Prosecuting Attorney,Alan Buffington,"P.O. Box 1137, Prentiss 39474",(601) 792-4204,(601) 792-2894,,,,,,2016-2020 Blue Book,
Jones,County Prosecuting Attorney,M. Wayne Thompson," P.O. Box 6509, Laurel 39441",(601) 426-0056,(601) 426-0058,,,,,,2016-2020 Blue Book,
Kemper,County Prosecuting Attorney,Marvin Wiggins," P.O. Box 188, DeKalb 39328",(601) 743-4290,(601) 743-2789,,,,,,2016-2020 Blue Book,
Lafayette,County Prosecuting Attorney,Bela J. Chain III,"P.O. Box 913, Oxford 38655",(662) 234-1667,(601) 236-3021,,,,,,2016-2020 Blue Book,
Lamar,County Prosecuting Attorney,Joseph Parker," P.O. Box 1762 , Purvis 39475",(601) 794-2683,(601) 794-2685,,,,,,2016-2020 Blue Book,
Lauderdale,County Attorney,Justin M. Cobb,"P.O. Box 5633, Meridian 39302",(601) 693-1933,(601) 693-1935,,,,,,2016-2020 Blue Book,
Lawrence,County Prosecuting Attorney,Damond Ready," P.O. Box 958, Monticello 39654",(601) 587-0029,(601) 587-0740,,,,,,2016-2020 Blue Book,
Leake,County Prosecuting Attorney,Carmen Wright," P.O. Box 436, Carthage 39051",(601) 267-8061,(601) 267-7302,,,,,,2016-2020 Blue Book,
Lee,County Prosecuting Attorney,James D. Moore,"P.O. Box 911, Tupelo 38802",(662) 840-8141,(662) 840-8140,,,,,,2016-2020 Blue Book,
Leflore,County Prosecuting Attorney,Richard A. Oakes," P.O. Drawer 1640, Greenwood 38935",(662) 453-7373,(662) 453-7378,,,,,,2016-2020 Blue Book,
Lincoln,County Prosecuting Attorney,W. Brady Kellems," P.O. Box 1406, Brookhaven 39602",(601) 835-2900,(601) 833-7174,,,,,,2016-2020 Blue Book,
Lowndes,County Prosecuting Attorney,Allison Pritchard Kizer," P.O. Box 291, Columbus 39703",(662) 329-4474,(662) 329-3030,,,,,,2016-2020 Blue Book,
Madison,County Prosecuting Attorney,Pamela Hancock," 2961 South Liberty St., Canton 39046",(601) 855-5735,(601) 859-5878,,,,,,2016-2020 Blue Book,
Marion,County Prosecuting Attorney,Scott Phillips," 326-A 2nd Street, Columbia 39429",(601) 736-9301,(601) 731-6344,,,,,,2016-2020 Blue Book,
Marshall,County Prosecuting Attorney,Shirley C. Byers," P.O. Box 5008, Holly Springs 38634",(662) 252-6530,(662) 252-6535,,,,,,2016-2020 Blue Book,
Monroe,County Prosecuting Attorney,Candace Cooper Blalock," P.O. Box 81, Aberdeen 39730",(662) 368-8691,(662) 369-7674,,,,,,2016-2020 Blue Book,
Montgomery,County Prosecuting Attorney,J. Lane Greenlee," P.O. Box 430, Winona 38967",(662) 283-1354,(662) 283-4805,,,,,,2016-2020 Blue Book,
Neshoba,County Prosecuting Attorney,Caleb E. May," P.O. Box 388, Philadelphia 39350",(601) 656-4830,(601) 389-5844,,,,,,2016-2020 Blue Book,
Newton,County Prosecuting Attorney,J. Douglas Smith," P.O. Box 567, Decatur 39327",(601) 635-4444,(601) 635-4448,,,,,,2016-2020 Blue Book,
Noxubee,County Prosecuting Attorney,Ricky D. Walker," P.O. Box 427, Macon 39341",(662) 726-5977,,,,,,,2016-2020 Blue Book,
Oktibbeha,County Prosecuting Attorney,Haley M. Brown," P.O. Box 1859, Starkville 39760",(662) 546-0861,,,,,,,2016-2020 Blue Book,
Panola,County Prosecuting Attorney,C. Gaines Baker," 136 Public Sq., Ste. 1, Batesville 38606",(662) 563-9385,(662) 561-0743,,,,,,2016-2020 Blue Book,
Pearl river,County Prosecuting Attorney,Aaron L. Russell Jr,"P.O. Box 476, Picayune 39466",(601) 403-2332,(601) 403-2553,,,,,,2016-2020 Blue Book,
Perry,County Prosecuting Attorney,Paul D. Walley,"P.O. Box 183, New Augusta 39462",(601) 964-7878,(601) 964-7879,,,,,,2016-2020 Blue Book,
Pike,County Prosecuting Attorney,David L. Brewer," 249 Louisiana Ave., McComb 39648",(601) 551-4905,(866) 545-7876,,,,,,2016-2020 Blue Book,
Pontotoc,County Prosecuting Attorney,Malcolm McAuley," P.O. Box 878, Pontotoc 38863",(662) 489-1551,(662) 489-2726,,,,,,2016-2020 Blue Book,
Prentiss,County Prosecuting Attorney,Allison A. Worley," P.O. Box 430, Booneville 38829",(662) 720-1141,(662) 720-1142,,,,,,2016-2020 Blue Book,
Quitman,County Prosecuting Attorney,Jimmy Miller,"P.O. Box 209, Marks 38646-0209",(662) 326-4223,,,,,,,2016-2020 Blue Book,
Rankin,County Prosecuting Attorney,Richard H. Wilson," 117 N. Timber St., Brandon 39042",(601) 824-2590,(601) 824-2591,,,,,,2016-2020 Blue Book,
Scott,County Prosecuting Attorney,Tanya Carl," P.O. Box 57, Forest 39074",(601) 469-0112,(601) 469-0712,,,,,,2016-2020 Blue Book,
Sharkey,County Prosecuting Attorney,Charles Weissinger," P.O. Box 215, Rolling Fork 39159",(662) 873-6258,(662) 873-6903,,,,,,2016-2020 Blue Book,
Simpson,County Prosecuting Attorney,Wesley Broadhead,"P.O. Box 446, Mendenhall 39114",(601) 847-2056,,,,,,,2016-2020 Blue Book,
Smith,County Prosecuting Attorney,Wendell James,"P.O. Box 861, Raleigh 39153",(601) 452-5055,(601) 782-9004,,,,,,2016-2020 Blue Book,
Stone,County Prosecuting Attorney,Thomas M. Matthews III,"P.O. Box 270, Wiggins 39577",(601) 528-6028,(601) 928-6132,,,,,,2016-2020 Blue Book,
Sunflower,County Prosecuting Attorney,Gary Austin," P.O. Box 1590, Indianola 38751",(662) 887-5398,(662) 887-2106,,,,,,2016-2020 Blue Book,
Tallahatchie,County Prosecuting Attorney,Carol Turner,"P.O. Box 185, Charleston 38957",(662) 647-8929,,,,,,,2016-2020 Blue Book,
Tate,County Prosecuting Attorney,Ginger Miller," 201 Ward St., Senatobia 38668",(662) 562-7626,,,,,,,2016-2020 Blue Book,
Tippah,County Prosecuting Attorney,Bart Adams,"108 Jefferson St., Ripley 38663",(662) 837-9976,(662) 837-1009,,,,,,2016-2020 Blue Book,
Tishomingo,County Prosecuting Attorney,Phillip Whitehead," 1008 Battleground Dr., Iuka 38852",(662) 423-7032,(662) 423-7005,,,,,,2016-2020 Blue Book,
Tunica,County Prosecuting Attorney,Charles B. Graves Jr,"P.O. Box 1413, Tunica 38676",(662) 363-3100,(662) 363-3174,,,,,,2016-2020 Blue Book,
Union,County Prosecuting Attorney,Joe Marshall Davis," P.O. Drawer 29, New Albany 38652",(662) 534-6421,(662) 534-0053,,,,,,2016-2020 Blue Book,
Walthall,County Prosecuting Attorney,Mark R. Holmes," P.O. Drawer 1128, McComb 39649",(601) 249-3112,(601) 684-0566,,,,,,2016-2020 Blue Book,
Warren,County Prosecuting Attorney,W. Richard Johnson," 1100 Clay St., Vicksburg 39180",(601) 529-9343,,,,,,,2016-2020 Blue Book,
Washington,County Prosecuting Attorney,Eric Hawkins,"249 S. Poplar St., Greenville 38701",(662) 335-2102,(662) 335-7066,,,,,,2016-2020 Blue Book,
Wayne,County Prosecuting Attorney,Curtis Bates,"801-C Station St., Waynesboro 39367",(601) 735-7006,(601) 735-0730,,,,,,2016-2020 Blue Book,
Webster,County Prosecuting Attorney,Jan R. Butler,"P.O. Drawer 888, Eupora 39744",(662) 258-7275,,,,,,,2016-2020 Blue Book,
Wilkinson,County Prosecuting Attorney,Holmes Sturgeon," P.O. Box 1175, Woodville 39669",(601) 888-6152,(601) 888-6134,,,,,,2016-2020 Blue Book,
Winston,County Prosecuting Attorney,Kiley C. Kirk,"P.O. Box 387, Louisville 39339",(662) 773-6687,(662) 773-8650,,,,,,2016-2020 Blue Book,
Yalobusha,County Prosecuting Attorney,Gail Barton,"P.O. Box 95, Oakland 38948",(662) 623-0043,(662) 623-0698,,,,,,2016-2020 Blue Book,
Yazoo,County Prosecuting Attorney,Richard J. Rohman," P.O. Box 151, Yazoo City 39194",(662) 746-2211,,,,,,,2016-2020 Blue Book,
