county,position,name,address,phone,fax,alt_address,alt_phone,alt_fax,mobile,email,source,verified
Humphreys,Superintendent of Education,Elliot Wheeler,"705 Cohn St., Belzoni 39038",(662) 247-6000,(662) 247-6004,,,,,,2016-2020 Blue Book,
Issaquena,Superintendent of Education,Sammie Ivy,"P.O. Box 219, Rolling Fork 39159",(662) 873-4302,(662) 873-6114,,,,,,2016-2020 Blue Book,
Itawamba,Superintendent of Education,Michael Nanney," 605 S. Cummings St., Fulton 38843",(662) 862-2159,(662) 862-4713,,,,,,2016-2020 Blue Book,
Jackson,Superintendent of Education,Barry Amacker,"P.O. Box 5069, Vancleave 39565",(228) 826-1757,(228) 826-1765,,,,,,2016-2020 Blue Book,
Jefferson,Superintendent of Education,Vincent Turner,"P.O. Box 157, Fayette 39069",(601) 786-3721,(601) 786-8441,,,,,,2016-2020 Blue Book,
Jefferson davis,Superintendent of Education,Will Russell,"P.O. Box 1197, Prentiss 39474",(601) 792-4267,(601) 792-2251,,,,,,2016-2020 Blue Book,
Jones,Superintendent of Education,Thomas D. Parker," 5204 Hwy. 11 N., Ellisville 39437",(601) 649-5201,(601) 649-1613,,,,,,2016-2020 Blue Book,
Kemper,Superintendent of Education,Jackie Pollock,"P.O. Box 219, DeKalb 39328",(601) 743-2657,(601) 743-9297,,,,,,2016-2020 Blue Book,
Lafayette,Superintendent of Education,Dr. Adam Pugh,"100 Commodore Dr., Oxford 38655",(662) 234-3271,(662) 236-3019,,,,,,2016-2020 Blue Book,
Lamar,Superintendent of Education,Tess R. Smith," P.O. Box 609, Purvis 39475",(601) 794-1030,(601) 794-1012,,,,,,2016-2020 Blue Book,
Lauderdale,Superintendent of Education,Randy Hodges,"P.O. Box 5498, Meridian 39302-5498",(601) 693-1683,(601) 485-1748,,,,,,2016-2020 Blue Book,
Lawrence,Superintendent of Education,Tammy Givens Fairburn,"223 Brookhaven St., Monticello 39654",(601) 587-2506,(601) 587-2221,,,,,,2016-2020 Blue Book,
Leake,Superintendent of Education,Billy Mack Wilbanks," P.O. Drawer 478, Carthage 39051",(601) 267-4579,(601) 267-5283,,,,,,2016-2020 Blue Book,
Lee,Superintendent of Education,Jimmy Weeks,"P.O. Box 832, Tupelo 38802",(662) 841-9144,(662) 680-6012,,,,,,2016-2020 Blue Book,
Lincoln,Superintendent of Education,Mickey Meyers," 233 East Monticello St., Brookhaven 39601",(601) 835-0011,(601) 833-3030,,,,,,2016-2020 Blue Book,
Lowndes,Superintendent of Education,Lynn Wright,"1053 Hwy. 45 S., Columbus 39701",(662) 244-5005,(662) 224-5043,,,,,,2016-2020 Blue Book,
Madison,Superintendent of Education,Ronnie L. McGehee," P.O. Box 159, Flora 39071",(601) 879-3000,(601) 879-3039,,,,,,2016-2020 Blue Book,
Marion,Superintendent of Education,Wendy Bracey," 1010 Hwy.13 North, Ste. Z, Columbia 39429",(601) 736-7193,(601) 736-6274,,,,,,2016-2020 Blue Book,
Marshall,Superintendent of Education,Dr. Lela Hale,"P.O. Box 38, Holly Springs 38635",(662) 252-4271,(662) 252-5129,,,,,,2016-2020 Blue Book,
Monroe,Superintendent of Education,Scott Cantrell,"P.O. Box 209, Amory 38821",(662) 257-2176,(662) 257-2181,,,,,,2016-2020 Blue Book,
Montgomery,Superintendent of Education,Michael Hood,"P.O. Box 687, Winona 38967",(662) 283-4533,(662) 283-4584,,,,,,2016-2020 Blue Book,
Neshoba,Superintendent of Education,Joe Killens," P.O. Box 338, Philadelphia 39350",(601) 656-3752,(601) 656-3789,,,,,,2016-2020 Blue Book,
Newton,Superintendent of Education,J. O. Amis," P.O. Box 97, Decatur 39327",(601) 635-2317,(601) 635-4025,,,,,,2016-2020 Blue Book,
Noxubee,Superintendent of Education,Roger Liddell,"P.O. Box 540, Macon 39341",(662) 726-4527,(662) 726-2809,,,,,,2016-2020 Blue Book,
Pearl river,Superintendent of Education,Alan Lumpkin,"7903 Hwy. 11, Carriere 39426",(601) 798-7744,(601) 798-3527,,,,,,2016-2020 Blue Book,
Perry,Superintendent of Education,Scott Dearman,"P.O. Box 137, New Augusta 39462",(601) 964-3211,(601) 964-8205,,,,,,2016-2020 Blue Book,
Pontotoc,Superintendent of Education,Brock Puckett,"285 Hwy. 15 Bypass S., Pontotoc 38863",(662) 489-3932,(662) 489-3182,,,,,,2016-2020 Blue Book,
Prentiss,Superintendent of Education,Randle Downs," P.O. Box 179, Booneville 38829",(662) 728-4911,(662) 728-2000,,,,,,2016-2020 Blue Book,
Quitman,Superintendent of Education,Evelyn Jossell,"P.O. Drawer E, Marks 38646",(662) 326-5451,(662) 326-3694,,,,,,2016-2020 Blue Book,
Rankin,Superintendent of Education,Sue Townsend," 1220 Apple Park Pl., Brandon 39042",(601) 825-5590,(601) 825-2618,,,,,,2016-2020 Blue Book,
Scott,Superintendent of Education,Tony McGee," 100 E. First St., Forest 39074",(601) 469-3861,(601) 469-3874,,,,,,2016-2020 Blue Book,
Sharkey,Superintendent of Education,Sammie Ivy,"P.O. Box 219, Rolling Fork 39159",(662) 873-4302,(662) 873-6878,,,,,,2016-2020 Blue Book,
Simpson,Superintendent of Education,Greg Paes," 111 Education Ln., Mendenhall 39114",(601) 847-1562,(601) 847-8001,,,,,,2016-2020 Blue Book,
Smith,Superintendent of Education,Jimmy Hancock,"P.O. Box 308, Raleigh 39153",(601) 782-4296,(601) 782-9895,,,,,,2016-2020 Blue Book,
Stone,Superintendent of Education,Inita Owen,"214 Critz St., Wiggins 39577",(601) 928-7247,(601) 928-5122,,,,,,2016-2020 Blue Book,
Sunflower,Superintendent of Education,Debra Dace," P.O. Box 70, Indianola 38751",(662) 887-4919,(662) 887-7051,,,,,,2016-2020 Blue Book,
Tallahatchie,Superintendent of Education,Benny Kennedy,"411 E. Chestnut, Charleston 38921",(662) 647-5524,,,,,,,2016-2020 Blue Book,
Tate,Superintendent of Education,Daryl Scoggin," 107 Court St., Senatobia 38668",(662) 562-5861,(662) 562-8516,,,,,,2016-2020 Blue Book,
Tippah,Superintendent of Education (SD),Frank Campbell,"P.O. Box 439, Ripley 38663",(662) 837-7156,(662) 837-1362,,,,,,2016-2020 Blue Book,
Tippah,Superintendent of Education (ND),Junior Wooten,"P.O. Box 65, Tiplersville 38674",(662) 223-4384,(662) 223-5379,,,,,,2016-2020 Blue Book,
Tishomingo,Superintendent of Education,Christie Holly,"1620 Paul Edmondson Dr., Iuka 38852",(662) 423-3206,,,,,,,2016-2020 Blue Book,
Union,Superintendent of Education,Ken Basil," P.O. Box 939, New Albany 38652",(662) 534-1960,(662) 534-1961,,,,,,2016-2020 Blue Book,
Walthall,Superintendent of Education,Wade Carney,"814-A Morse Ave., Tylertown 39667",(601) 876-3401,(601) 876-6982,,,,,,2016-2020 Blue Book,
Warren,Superintendent of Education,Chad Shealy,"1500 Mission 66, Vicksburg 39180",(601) 638-5122,(601) 631-2819,,,,,,2016-2020 Blue Book,
Wayne,Superintendent of Education,Bobby Jones,"810 Chickasawhay St., Waynesboro 39367",(601) 735-4871,(601) 735-4872,,,,,,2016-2020 Blue Book,
Webster,Superintendent of Education,Michael Adkins,"P.O. Box 887, Eupora 39744",(662) 258-5921,(662) 258-3134,,,,,,2016-2020 Blue Book,
Wilkinson,Superintendent of Education,Kimberly Jackson," P.O. Box 785, Woodville 39669",(601) 888-3582,(601) 888-3133,,,,,,2016-2020 Blue Book,
Winston,Superintendent of Education,Ken McMullan,"P.O. Box 909, Louisville 39339",(662) 773-3411,(662) 773-4013,,,,,,2016-2020 Blue Book,
Yazoo,Superintendent of Education,Becky Fisher,"119 West Jefferson, Yazoo City 39194",(662) 746-4672,(662) 746-2001,,,,,,2016-2020 Blue Book,
