county,job title,name,address,alt address,phone,alt phone,fax,alt fax,email
Wayne County,Chancery Clerk,Geary Jackson,"Courthouse, 609 Azalea, Waynesboro 39367",,(601) 735-2873,,(601) 735-6224,,
Calhoun County,Chancery Clerk,Romona Tillman,"PO Box 8, Pittsboro 38951.",,(662) 412-3117,,(662) 412-3111,,
Lafayette County,Chancery Clerk,Sherry J. Wall,"PO Box 1240, Oxford 38655",,(662) 234-2131,,(662) 234-5038,,
Lincoln County,Chancery Clerk,Tillmon Bishop,"PO Box 555, Brookhaven 39602",,(601) 835-3411,,(601) 835-3423,,
Perry County,Chancery Clerk,Vickie Walters,"PO Box 198, New Augusta 39642",,(601) 964-8398,,(601) 964-8746,,
Pontotoc County,Chancery Clerk,Ricky Ferguson,"PO Box 209, Pontotoc 38863",,(662) 489-3900,,(662) 489-3940,,
Rankin County,Chancery Clerk,Larry W Swales,"PO Box 700, Brandon 39042 ",,(601) 825-1649,,(601) 824-7116,,
Warren County,Chancery Clerk,Donna F. Hardy,"PO Box 351, Vicksburg 39181",,(601) 636-4415,,(601) 634-4815,,
Forrest County,Chancery Clerk,Jimmy C. Havard,"PO Box 951, Hattiesburg 39403",,(601) 545-6014,,(601) 545-6017,,
Tate County,Chancery Clerk,Jeanne McLemore,"201 Ward St, Senatobia 38668",,(662) 562-5661,,(662) 560-6205,,
Tishomingo County,Chancery Clerk,Peyton Cummings,"1008 Battleground Dr, Iuka 38852",,(662) 423-7010,,(662) 423-7005,,
Benton County,Chancery Clerk,Marlene McKenzie,"PO Box 218, Ashland 38603",,(662) 224-6300,,(662) 224-6303,,
Choctaw County,Chancery Clerk,Steve Montgomery,"PO Box 250, Ackerman 39735",,(662) 285-6329,,(662) 285-3444,,
Covington County,Chancery Clerk,Joseph L. Warren,"PO Box 1679, Collins 39428",,(601) 765-4242,,(601) 765-5016,,
Webster County,Chancery Clerk,Russell S Turner,"PO Box 398, Walthall 39771",,(662) 258-4131,,(662) 258-9635,,
Winston County,Chancery Clerk,Julie Cunningham,"PO Drawer 69, Louisville 39339 ",,(662) 773-3631,,(662) 773-8814,,
Coahoma County,Chancery Clerk,Carolyn B. Parham,"PO Box 98, Clarksdale 38614",,(662) 624-3000,,(662) 624-3040,,
Grenada County,Chancery Clerk,Johnny L. Hayward,"PO Box 1208, Grenada 38902-1208",,(662) 226-1821,,(662) 227-2860,,
Noxubee County,Chancery Clerk,Mary Ruth Shelton,"2832 Jefferson, Macon 39341",,(662) 726-4244,,(662) 726-2272,,
Sharkey County,Chancery Clerk,Murindia Williams,"PO Box 218, Rolling Fork 39159",,(662) 873-2755,,(662) 873-6045,,
Lowndes County,Chancery Clerk,Lisa Younger Neese,"PO Box 684, Columbus 39703",,(662) 329-5800,,(662) 328-5895,,
Clarke County,Chancery Clerk,Angie Wade Chisholm,"PO Box 689, Quitman 39355",,(601) 776-2126,,(601) 776-2756,,
Franklin County,Chancery Clerk,Jill Jordan Gilbert,"PO Box 297, Meadville 39653",,(601) 384-2330,,(601) 384-5864,,
George County,Chancery Clerk,Cammie Brannan Byrd,"355 Cox St,Ste A, Lucedale 39452",,(601) 947-4801,,(601) 947-1300,,
Humphreys County,Chancery Clerk,Lawrence D. Browder,"PO Box 547, Belzoni 39038",,(662) 247-1740,,(662) 247-0101,,
Jefferson Davis County,Chancery Clerk,Charlene H. Fairley,"PO Box 1137, Prentiss 39474",,(601) 792-4204,,(601) 792-2894,,
Tunica County,Chancery Clerk,Rechelle R. Siggers,"PO Box 217, Tunica 38676",,(662) 363-2451,,(662) 357-5934,,
Prentiss County,Chancery Clerk,"David (""Bubba"") Pounds","PO Box 477, Booneville 38829",,(662) 728-8151,,(662) 728-2007,,
Quitman County,Chancery Clerk,"T.H. (""Butch"") Scipper","220 Chestnut St,Ste 2, Marks 38646",,(662) 326-2661,,(662) 326-8004,,
Wilkinson County,Chancery Clerk,Thomas C. Tolliver Jr.,"PO Box 516, Woodville 39669",,(601) 888-4381,,(601) 888-6776,,
Kemper County,Chancery Clerk,"Sherline (""Dee"") Watkins","PO Box 188, DeKalb 39328 ",,(601) 743-2460,,(601) 743-2789,,
Sunflower County,Chancery Clerk,Gloria Sample McIntosh,"PO Box 988, Indianola 38751",,(662) 887-4703,,(662) 887-2336,,
Oktibbeha County,Chancery Clerk,"Sharon Livingston, Interim","101 East Main St, Starkville 39759.",,(662) 323-5834,,(662) 338-1064,,
